rating,enrollment,grade_span,name,address
32,397,K-6,Derby Elementary School,"907 ELM STREET, Derby Line"
-,170,K-8,Dorset Elementary School,"130 SCHOOL DRIVE, Dorset"
66,282,K-5,Dothan Brook School,"2300 CHRISTIAN STREET, White River Junction"
54,80,PK-6,Doty Memorial School,"24 CALAIS ROAD, Worcester"
75,82,PK-6,Dover Elementary School,"9 SCHOOLHOUSE ROAD, Dover"
64,159,K-8,Dummerston School,"52 SCHOOLHOUSE ROAD, Dummerston"
-,-,12,Acalanes Adult Education Center School,"1963 Tice Valley Boulevard, Walnut Creek"
7,22,9-12,Acalanes Center For Independent Study School,"1963 Tice Valley Boulevard, Walnut Creek"
90,967,9-12,Acalanes High School,"1200 Pleasant Hill Road, Lafayette"
24,136,4-12,Accelerated Achievement Academy School,"1059 North State Street, Ukiah"
-,-,4-8,Accelerated Achievement Academy School,"1151 Buena Vista Road, Hollister"
28,91,K-5,Accelerated Elementary Charter School,"119 East 37th Street, Los Angeles"
55,667,K-8,Accelerated School,"4000 South Main Street, Los Angeles"
1,"1,388",K-12,Access County Community School,"200 Kalmus Drive, Costa Mesa"
6,105,K-12,Access Juvenile Hall School,"200 Kalmus Drive, Costa Mesa"
32,83,5-8,Ace Charter School,"480 McCreery Avenue, San Jose"
52,214,4-5,Achieve Academy School,"1700 28th Avenue, Oakland"
-,-,-,Advanced Technology Center School,"1800 COLLEGE CRESCENT, Virginia Beach"
-,-,-,Agnor-Hurt Elementary School,"3201 BERKMAR DRIVE, Charlottesville"
-,639,PK-5,Alanton Elementary School,"1441 STEPHENS RD, Virginia Beach"
61,"1,784",9-12,Albemarle High School,"2775 HYDRAULIC ROAD, Charlottesville"
-,537,3-5,Albert Harris Intermediate School,"710 SMITH RD, Martinsville"
70,486,6-8,Albert Hill Middle School,"3400 PATTERSON AVE, Richmond"
-,781,PK-5,Alberta Smith Elementary School,"13200 BAILEY BRIDGE RD, Midlothian"
-,-,9-10,Alc At Bryant School,"6520 DIANA LN, Alexandria"
-,-,-,Alc At Burke School,"9645 BURKE ROAD, Burke"
-,-,9-11,Alc At Dunn Loring School,"2334 GALLOWS RD, Dunn Loring"
-,-,9-10,Alc At Eleven Oaks School,"10515 SCHOOL ST, Fairfax"
92,508,EE-6,A G Elder Elementary School,"513 HENDERSON ST, Joshua"
49,673,9-12,A J Moore Academy School,"500 N UNIV PARKS, Waco"
50,748,6-8,A Leal Junior Middle School,"743 W SOUTHCROSS BLVD, San Antonio"
-,-,-,"A M ""mac"" Stringfellow Unit School","1200 FM 655, Rosharon"
70,599,EE-5,A M Aikin Elementary School,"600 DOGWOOD LN, New Caney"
70,475,PK-5,A M Ochoa Elementary School,"116 N 10TH ST, Donna"
1,605,EE-5,A M Pate Elementary School,"3800 ANGLIN DR, Fort Worth"
3,879,9-12,A Maceo Smith High School,"3030 STAG RD, Dallas"
74,995,EE-5,A N Rico Elementary School,"2202 N INTERNATIONAL BLVD, Weslaco"
95,535,EE-4,A P Beutel Elementary School,"P O DRAWER Z, Freeport"
18,821,6-8,A P Solis Middle School,"116 N 10TH ST, Donna"
-,PK-12,,Bainbridge Special Education Services,"8489 Madison Ave NE, Bainbridge Island"
30,6-8,,Baker,"8320 S I St, Tacoma"
56,PK-6,,Balboa Elementary,"3010 W Holyoke Ave, Town and Country"
72,9-12,,Ballard High School,"1418 NW 65 ST, Seattle"
68,7-9,,Ballou Jr High,"9916 136th St E, Clover Creek"
7,0-5,,Barge-Lincoln Elementary School,"219 E I St, Terrace Heights"
17,9-12,,Barker Center,"13313 E Broadway, Trentwood"
24,0-5,,Barnes Elementary,"401 Barnes, West Side Highway"
28,0-6,,Basin City Elem,"PO Box 829, Connell"
48,9-12,,Battle Ground High School,"PO Box 200, Battle Ground"
84,0-8,,Bay View Elementary,"15241 JOSH WILSON RD, Burlington"
30,9-12,,Bayview Alternative School,"PO Box 311, Langley"
-,-,5-12,Aberdeen Alternative School,"640-9TH AVE. SW, Aberdeen"
-,-,9-12,Ace Alternative Program School,"215 N 3RD STREET, Custer"
-,-,K-8,Agar Elementary School,"101 PINE ST, Agar"
6,"1,072",6-8,A. Maceo Walker Middle School,"1900 East Raines Road, Memphis"
71,610,K-6,Adamsville Elementary School,"220 South Elm, Adamsville"
68,662,7-12,Adamsville Junior / Senior High School,"815 West Main, Adamsville"
46,654,K-5,Adrian Burnett Elementary School,"4521 Browns Gap Road, Knoxville"
4,722,6-8,Airways Middle School,"2601 Ketchum Road, Memphis"
65,181,K-5,Akard Memorial Elementary School,"224 Mt Area Drive, Bristol"
68,509,K-6,Alamo Elementary School,"264 E Park Street, Alamo"
61,563,K-4,Alcoa Elementary School,"1200 Springbrook Road, Alcoa"
52,513,9-12,Alcoa High School,"532 Faraday Street, Alcoa"
86,473,5-8,Alcoa Middle School,"1325 Springbrook Road, Alcoa"
16,452,K-5,Alcy Elementary School,"1750 Alcy Road, Memphis"
5,310,K-4,Alex Green Elementary School,"3921 Lloyd Road, Whites Creek"
57,440,5-8,Academy For Business And Leadership Education School,"7 WILLIAMS ST, St. Augustine"
16,47,9-12,Academy For Community Education (Ace) School,"8950 NW 2ND AVE, El Portal"
55,74,K-8,Academy For Positive Learning School,"128 N C ST, Lake Worth"
18,671,6-12,Academy Of Academics & Technology School,"500 N APPLEYARD DR, Tallahassee"
47,197,9-12,Academy Of Arts & Minds School,"3138 COMMODORE PLAZA, Miami"
42,391,6-8,Academy Of International Studies School,"757 LIGHTHOUSE DR, North Palm Beach"
-,-,-,Achievement Academy School,"716 E BELLA VISTA ST, Lakeland"
47,214,K-5,Acreage Pines Elementary School,"14200 ORANGE BLVD, Loxahatchee"
84,"1,377",K-8,Ada Merritt K-8 Center School,"660 SW 3RD ST, Miami"
32,316,6-8,Adams Middle School,"10201 NORTH BLVD, Tampa"
74,"1,019",6-8,Addie R. Lewis Middle School,"281 MISSISSIPPI AVE, Valparaiso"
41,42,K-6,E. Taylor Hatton School,"158 MEADE HILL, Morgan"
-,33,K-8,East Haven River School,"64A COMMUNITY BUILDING ROAD, East Haven"
57,223,PK-6,East Montpelier Elementary School,"VINCENT FLATS RD, East Montpelier"
43,141,PK-6,Eden Central School,"140 KNOWLES FLAT RD, Eden"
66,287,K-5,Edmunds Elementary School,"299 MAIN STREET, Burlington"
43,105,K-7,Achieve Charter Of Paradise Inc. School,"771 Elliott Road, Paradise"
50,152,K-5,Acorn Woodland Elementary School,"1025 81st Avenue, Oakland"
76,318,K-5,Ada Clegg Elementary School,"6311 Larchwood Drive, Huntington Beach"
39,325,K-5,Ada Givens Elementary School,"2900 Green Street, Merced"
48,321,K-6,Ada S. Nelson Elementary School,"8140 South Vicki Drive, Whittier"
93,357,3-6,Ada W. Harris Elementary School,"1508 Windsor Road, Cardiff-By-The-Sea"
87,420,5-8,Adaline E. Kent Middle School,"800 College Avenue, Kentfield"
20,449,K-6,Adam (William Laird) Elementary School,"500 West Windsor, Santa Maria"
77,977,6-8,Adams (J. Douglas) Middle School,"401 American Avenue, Brentwood"
31,317,K-6,Adams Elementary School,"2701 Las Positas Road, Santa Barbara"
23,383,K-8,Adams Elementary School,"6402 Inglewood Avenue, Stockton"
18,216,K-5,Adams Elementary School,"4672 35th Street, San Diego"
-,103,PK-5,Aldie Elementary School,"23269 MEETINGHOUSE LN, Aldie"
-,551,PK-6,Aldrin Elementary School,"11375 CENTER HARBOUR RD, Reston"
-,517,PK-5,Alfred S. Forrest Elementary School,"1406 TODDS LN, Hampton"
-,461,PK-5,Algonkian Elementary School,"20196 CARTER COURT, Sterling"
60,-,-,Alleghany High School,"210 MOUNTAINEER DRIVE, Covington"
-,625,PK-5,Altavista Elementary School,"1003 LYNCH MILL RD, Altavista"
60,790,6-12,Altavista High School,"904 BEDFORD AVENUE, Altavista"
-,-,-,Altern Education Prgm/Behav Disord Youth/Montgomery School,"C/O MONTGOMERY CO PUBLIC SCHLS, Christiansburg"
-,-,-,Alternative Education Center School,"4484 CATLETT ROAD, Midland"
-,-,-,Alternative Education Center School,"6825 SKIPWITH ROAD, Skipwith"
-,89,11-12,Alternative High Prgm School,"8020 RIVER STONE DRIVE, Fredericksburg"
-,472,-,A S Canavan Elementary School,"4TH & EBONY ST LOS SAENZ, Roma"
30,458,4 5,A V Cato Elementary School,"1101 MERRITT ST, Fort Worth"
-,388,-,A W Brown - Fellowship North Campus School,"6901 S WESTMORELAND RD, Dallas"
49,"1,033",PK-12,A+ Academy School,"10327 RYLIE RD, Dallas"
50,247,PK-5,Aaron Parker Elementary School,"98 CR 44112, Powderly"
98,663,5 6,Ab Harrison Int School,"1001 S BALLARD, Wylie"
91,671,K-5,Abbett Elementary School,"730  W MUIRFIELD RD, Garland"
85,297,PK-12,Abbott School,"219 S FIRST ST, Abbott"
59,866,7 8,Abell Junior High School,"3201 HERITAGE BLVD, Midland"
-,8,6-12,Abernathy Daep School,"505 7TH ST, Abernathy"
82,420,EE-5,Abernathy Elementary School,"505 7TH ST, Abernathy"
65,206,9-12,Abernathy High School,"505 7TH ST, Abernathy"
57,0-6,,Beach Elem,"3786 Centerview Road, Lummi Island"
43,PK-5,,Beachwood Elementary School,"American LK Ave & Concord ST, DuPont"
60,PK-3,,Beacon Avenue Elementary School,"1717 East Beacon Avenue, Aberdeen"
42,0-5,,Beacon Hill Elementary,"257 Alpha Dr, Longview"
58,0-5,,Beacon Hill International School,"2025 14 AV S, Seattle"
-,-,9-12,Agar High School,"101 PINE ST, Agar"
-,-,PK-6,Alcester Elementary School,"409 E 6TH ST, Alcester"
38,137,9-12,Alcester-Hudson High School,"102 E 5TH, Alcester"
-,45,7-8,Alcester-Hudson Junior High School,"102 E 5TH, Alcester"
-,-,K-8,Alfalfa Valley Elementary School,"330 SCOTTIE AVENUE, Philip"
-,-,K-8,Alkali Elementary School,"14758 ALKALI ROAD, Sturgis"
92,153,K-5,All City Elementary School,"2511 W BROOKINGS ST, Sioux Falls"
-,-,K-5,Alpena Elementary School,"301 MAIN ST, Alpena"
-,-,9-12,Alpena High School,"301 MAIN ST, Alpena"
-,-,6-8,Alpena Middle School,"301 MAIN ST, Alpena"
-,-,9-12,Alternative Program School,"21 ST JOSEPH, Rapid City"
15,320,K-4,Alexander Elementary School,"900 N Highland Avenue, Jackson"
82,"1,087",K-8,Algood Elementary School,"540 Dry Valley Road, Cookeville"
78,431,K-8,Allardt Elementary School,"220 Portland Avenue, Allardt"
81,555,K-5,Allen Elementary School,"9811 Dallas Hollow Road, Soddy Daisy"
61,343,K-8,Allons Elementary School,"321 Old Celina Highway, Allons"
80,598,K-5,Alpha Elementary School,"5620 Old U.S. 11E Highway, Morristown"
68,385,K-5,Alpine Crest Elementary School,"4700 Stagg Road, Chattanooga"
15,447,K-4,Alton Elementary School,"2020 Alton Street, Memphis"
93,821,K-5,Altruria Elementary School,"6641 Deermont, Bartlett"
3,896,6-8,American Way Middle School,"3805 American Way, Memphis"
70,580,K-5,Amherst Elementary School,", Knoxville"
64,348,K-5,Addison Mizner Elementary School,"199 SW 12TH AVE, Boca Raton"
-,-,6-12,Adjudicated Youth Facility School,"4448 STRAIGHT LINE RD REGIONAL DETENTION CENTER, Crestview"
46,69,6-12,Adolescent Residential Center School,"5970 S ORANGE BLOSSOM TRAIL, Intercession City"
25,69,6-12,Adolescent Residential Center School,"5970 S ORANGE BLOSSOM TRAIL, Intercession City"
-,27,6-12,Adolescent Substance Abuse School,"1015 MAR WALT DR, Fort Walton Beach"
-,-,-,Adult & Community Special Populations School,"2222 N TAMPA ST, Tampa"
-,-,-,Adult & Community Special Populations School,"2222 N TAMPA ST, Tampa"
-,-,-,Adult & Vocatonal Off Campus-South School,", Hollywood"
-,-,-,Adult & Vocatonal Off Campus-South School,", Hollywood"
81,367,-,Adult And Community Education School,"1426 19TH ST, Vero Beach"
63,266,-,Adult Education Center Of Palm Beach School,"2161 N MILITARY TRAIL, West Palm Beach"
42,372,K-5,Adams Elementary School,"2130 South Raitt Street, Santa Ana"
37,385,K-6,Adams Elementary School,"8362 Colorado Avenue, Riverside"
37,365,K-6,Adams Elementary School,"2850 Clubhouse Road, Costa Mesa"
76,786,6-8,Adams Middle School,"2600 Ripley Avenue, Redondo Beach"
23,470,K-6,Addams Elementary School,"2117 West McKinley Avenue, Fresno"
59,563,K-5,Addams Elementary School,"5320 Pine Avenue, Long Beach"
89,291,K-5,Addison Elementary School,"650 Addison Avenue, Palo Alto"
17,162,K-6,Adelante Charter School,"1102 East Yanonali Street, Santa Barbara"
49,126,K-7,Adelante Dual Language Academy School,"2999 Ridgemont Avenue, San Jose"
7,39,9-12,Adelante High (Continuation) School,"350 Atlantic Street, Roseville"
7,1,9-12,Adelante High School,"701 General Petroleum Street, Kettleman City"
7,22,10-12,Adelante High School,"6200 Claus Road, Riverbank"
20,635,PK-5,A C CORCORAN ELEMENTARY,"8585 Vistavia Road, Hanahan"
64,"1,266",9-12,A C FLORA HIGH,"1 Falcon Dr., Columbia"
39,401,PK-5,A C MOORE ELEMENTARY,"333 Etiwan Dr., "
27,393,PK-5,A J LEWIS GREENVIEW ELEMENTARY,"726 Easter Street, "
-,-,-,Amelia County Elementary School,"8533 N FIVE FORKS RD, Amelia Court House"
57,570,9-12,Amelia County High School,"8500 OTTERBURN RD, Amelia Court House"
97,414,6-8,Amelia County Middle School,"8740 OTTERBURN ROAD, Amelia Court House"
-,83,PK-12,Amelia Street Special Education School,"1821 AMELIA ST, Richmond"
-,-,-,Amelia-Nottoway Voc Center School,"148 VO TECH RD, Jetersville"
-,457,PK-5,Amelon Elementary School,"132 AMER COURT, Madison Heights"
67,"1,512",9-12,Amherst County High School,"139 LANCER LANE, Amherst"
-,339,PK-5,Amherst Elementary School,"156 DAVIS ST, Amherst"
53,455,6-8,Amherst Middle School,"165 GORDONS FAIRGROUND RD, Amherst"
12,865,6-8,Andrew G. Wright Middle School,"100 WOOD DR, Stafford"
21,920,6-8,Andrew Lewis Middle School,"616 SOUTH COLLEGE AVE, Salem"
68,175,6-8,Abernathy J H School,"505 7TH ST, Abernathy"
63,"2,094",9-12,Abilene High School,"2800 N 6TH ST, Abilene"
-,-,EE-12,Abilene State School,"317 N 6TH ST, Abilene"
-,-,4 5,About Face Jjaep School,"220 LAWTON DR, El Paso"
-,7,1-5,About Face Program Elementary School,"220 LAWTON DR, El Paso"
17,484,6-8,Abraham Kazen Middle School,"1520 GILLETTE BLVD, San Antonio"
-,-,3-12,Academic & Character Training School,"2400 FRANKLIN AVE, Waco"
-,-,K-12,Academic Behavior Center East School,"7703 S LOOP E, Houston"
-,-,9-12,Academic Behavior Center Ne School,"8003 E SAM HOUSTON PKWY N, Houston"
-,-,K-12,Academic Behavior Center West School,"7800 WESTGLEN, Houston"
54,691,EE-5,Academy At Carrie F Thomas School,"8200 O'BRIAN WAY, North Richland Hills"
38,603,EE-5,Academy At West Birdville School,"3001 LAYTON AVE, Haltom City"
-,-,6-12,Alternative Program School,"PO BOX 218, Sturgis"
6,202,PK-6,Andes Central Elementary School,"1001 HIGH ST, Lake Andes"
-,67,9-12,Andes Central High School,"400 SCHOOL ST, Lake Andes"
7,47,7-8,Andes Central Junior High School,"400 SCHOOL ST, Lake Andes"
37,657,PK-5,Anne Sullivan Elementary School,"3701 E 3RD ST, Sioux Falls"
81,153,K-6,Arlington Elementary School,"306 S MAIN, Arlington"
-,118,9-12,Arlington High School,"306 S MAIN, Arlington"
67,44,7-8,Arlington Junior High School,"306 S MAIN, Arlington"
-,60,K-4,Armour Elementary School,"905 DOBSON, Armour"
13,66,9-12,Armour High School,"604 3RD ST, Armour"
-,54,5-8,Armour Middle School,"905 DOBSON, Armour"
-,-,K-2,Artesian Elementary School,"209 S 2ND ST, Artesian"
38,626,K-4,Amqui Elementary School,"319 Anderson Lane, Madison"
38,"1,086",9-12,Anderson County High School,"130 Maverick CR, Clinton"
47,321,-,Anderson Early Childhood School,"620 W Main, Brownsville"
70,378,K-6,Anderson Elementary School,"901 Ninth Street, Bristol"
66,378,K-5,Andersonville Elementary School,"1951 Mountain Road, Andersonville"
83,583,K-4,Andrew Jackson Elementary School,"110 Shute Lane, Old Hickory"
27,599,5-6,Andrew Jackson Intermediate School,"211 Old Hickory Boulevard, Jackson"
18,"2,716",9-12,Antioch High School,"1900 Hobson Parkway, Antioch"
31,"1,067",5-8,Antioch Middle School,"5050 Blue Hole Road, Antioch"
48,531,K-5,Apison Elementary School,"10433 East Brainerd Road, Apison"
14,551,5-8,Apollo Middle School,"631 Richards Road, Antioch"
78,926,6-8,Appling Middle School,"3700 Appling Road, Bartlett"
-,31,-,Adult Education Programs School,"3312 FOREST HILL BLVD., West Palm Beach"
-,31,-,Adult Education Programs School,"3312 FOREST HILL BLVD., West Palm Beach"
-,39,-,Adult Education School,"363 NE CRAWFORD ST, Mayo"
81,367,-,Adult Education-Martin Co High School,"2801 S KANNER HWY, Stuart"
-,-,-,Adult Education/Moore Mickens School,"38301 MARTIN LUTHER KING BLVD, Dade City"
-,20,-,Adult Learning Center Osceola School,"705 SIMPSON RD, Kissimmee"
-,-,-,Adult Satellite East School,"38301 MARTIN LUTHER KING BLVD, Dade City"
-,-,-,Adult Satellite East School,"38301 MARTIN LUTHER KING BLVD, Dade City"
-,-,-,Adult Satellite West School,"7825 CAMPUS DR, New Port Richey"
-,-,-,Adult Satellite West School,"7825 CAMPUS DR, New Port Richey"
-,53,-,Adult/Community Education School,"1086 S SHADE AVE, Sarasota"
23,316,-,Adult/Community Education School,"164 YELLOW JACKET AVE, Sopchoppy"
60,276,K-6,Adelante Spanish Immersion School,"3150 Granger Way, Redwood City"
-,31,6-8,Adelanto Charter Academy School,"17537 Montezuma, Adelanto"
50,309,K-6,Adelanto Elementary School,"17931 Jonathan Street, Adelanto"
37,453,6-8,Adele Harrison Middle School,"1150 Broadway, Sonoma"
91,329,K-5,Adobe Bluffs Elementary School,"8707 Adobe Bluffs Drive, San Diego"
82,"1,673",9-12,Adolfo Camarillo High School,"4660 Mission Oaks Boulevard, Camarillo"
62,"1,354",9-12,Adrian Wilcox High School,"3250 Monroe Street, Santa Clara"
-,-,-,Adult Alternative Education School,"4041 Pacific Avenue, Riverside"
-,-,-,Adult And Career Education School,"1515 West Mission Boulevard, Pomona"
-,-,-,Adult And Community Education School,"591 West Fremont Avenue, Sunnyvale"
-,-,-,Adult Division Center School,"9401 South Painter Avenue, Whittier"
-,289,PK-2,A J WHITTENBURG ELEMENTARY,"420 Westfield Street, "
70,235,PK-5,A R LEWIS ELEMENTARY,"1755 Shady Grove Rd, Pickens"
36,528,6-8,A. R. RUCKER MIDDLE,"422 Old Dixie Road, Lancaster Mill"
-,92,10-12,ABBEVILLE COUNTY CAREER CENTER,"100 Old Calhoun Falls Road, Abbeville"
60,537,9-12,ABBEVILLE HIGH,"701 Washington Street, Abbeville"
80,406,PK-4,ABNER CREEK ACADEMY,"2050 Abner Creek Road, "
100,608,9-12,ACADEMIC MAGNET HIGH,"5109-A West Enterprise Street, Charleston"
-,432,9-12,ACADEMY FOR CAREER EXCELLENCE (BEAUFORT-JASPER),"80 Lowcountry Drive, Hardeeville"
79,366,9-12,ACADEMY FOR THE ARTS  SCIENCE  A,"895 International Drive, Conway"
-,429,10-12,AIKEN COUNTY CAREER CENTER,"2455 Jefferson Davis Highway, Aiken"
77,814,PK-5,AIKEN ELEMENTARY,"2050 Pine Log Road, Aiken"
53,"1,481",9-12,AIKEN HIGH,"449 Rutland Drive, Aiken"
-,-,1-12,Ann Ludwig School,"2221 OPITZ BLVD, Woodbridge"
43,"2,443",9-12,Annandale High School,"4700 MEDFORD DR, Annandale"
-,674,PK-5,Annandale Terrace Elementary School,"7604 HERALD ST, Annandale"
-,755,PK-5,Anne E. Moncure Elementary School,"75 MONCURE LANE, Stafford"
-,102,4-5,Annie B. Jackson Elementary School,"408 SCHOOL STREET, Waverly"
-,527,PK-5,Antietam Elementary School,"12000 ANTIETAM RD, Woodbridge"
-,395,PK-7,Appalachia Elementary School,"3965 KENT JUNCTION ROAD, Appalachia"
50,302,8-12,Appalachia High School,"205 LEE ST, Appalachia"
-,516,K-5,Apple Pie Ridge Elementary School,"349 APPLE PIE RIDGE RD, Winchester"
56,705,9-12,Appomattox County High School,"198 EVERGREEN AVE., Appomattox"
-,532,3-5,Appomattox Elementary School,"176 KIDS PLACE, Appomattox"
59,526,6-8,Appomattox Middle School,"2020 CHURCH ST, Appomattox"
-,97,-,Academy Of Service School,"425 Branch Avenue, Providence"
-,571,9-10,Adelaide High School,"375 Adelaide Avenue, Providence"
61,250,K-5,Agnes B. Hennessey School,"75 Fort Street, East Providence"
24,407,K-6,Agnes E. Little School,"60 South Bend Street, Pawtucket"
62,397,PK-4,Academy Elementary School,"311 N BUMBLEBEE DR, Little River"
-,88,9-12,Academy For Technology Engineering Math & Science School,"650 E HWY 80, Abilene"
-,99,9-12,Academy High School,"4820 JACK C HAYS TRL, Buda"
61,315,9-12,Academy High School,"602 E MAIN ST, Little River"
76,363,5-8,Academy J H School,"501 E MAIN ST, Little River"
-,-,5-12,Academy Jjaep School,"704 E MAIN ST, Little River"
9,574,PK-5,Academy Of Accelerated Learning School,"6025 CHIMNEY ROCK, Houston"
-,145,9-12,Academy Of Careers And Technologies Charter School,"6812 BANDERA RD STE 102, San Antonio"
-,124,9-12,Academy Of Creative Education School,"3736 PERRIN CENTRAL BLDG2, San Antonio"
15,535,PK-8,Academy Of Dallas School,"1030 OAK PARK DR, Dallas"
-,12,K-12,Acadia Abilene Behavioral Health School,"4225 WOODS PL, Abilene"
-,-,9-12,Aspire High School,"1109 W CEDAR, Beresford"
-,-,PK-1,Astoria Elementary School,"319 MAIN ST, Astoria"
-,-,K-8,Atall Elementary School,"16375 ATALL ROAD, Union Center"
-,-,PK-2,Austin Elementary School,"300 HIGH ST, Vermillion"
68,133,PK-6,Avon Elementary School,"210 PINE ST, Avon"
-,92,9-12,Avon High School,"210 PINE ST, Avon"
59,38,7-8,Avon Junior High School,"210 PINE ST, Avon"
10,655,6-8,Axtell Park Middle School,"201 N WEST AVE, Sioux Falls"
-,-,K-1,Badger Clark/Carrousel School,"401 DON WILLIAMS DR, Box Elder"
-,166,PK-5,Baltic Elementary School,"500 3RD ST, Baltic"
53,102,9-12,Baltic High School,"1 BULLDOG AVENUE, Baltic"
-,91,6-8,Baltic Middle School,"1 BULLDOG AVENUE, Baltic"
30,483,K-4,Arlington Elementary School,"701 Arlington Avenue, Jackson"
90,762,K-5,Arlington Elementary School,"11825 Douglass Street, Arlington"
84,805,9,Arlington High School,"5475 Airline Road, Arlington"
84,"1,134",6-8,Arlington Middle School,"5470 Lamb Road, Arlington"
26,262,K-5,Arnold School,"473 8th N W Street, Cleveland"
61,528,K-4,Ashland City Elementary School,"108 Elizabeth Street, Ashland City"
72,542,7-9,Athens Junior High School,"200 Keith Lane, Athens"
86,125,K-8,Auburn Elementary School,"150 Vantrease Avenue, Auburntown"
4,864,9-12,Austin East High/Magnet School,"2800 Ml King Jr.  Avenue, Knoxville"
73,769,K-5,Austin Peay Elementary School,"474 Academic Drive, Covington"
80,985,7-8,Avery Trace Middle School,"230 Cavalier Drive, Cookeville"
84,449,K-6,Avoca Elementary School,"2440 Volunteer Parkway, Bristol"
28,697,-,Adult/Community Education School,"901 W MAIN STREET, Wauchula"
-,-,-,Adult/Vocational/Community Education School,"2100 FLAGLER AVE,4-108, Key West"
-,-,-,Adult/Vocational/Community Education School,"2100 FLAGLER AVE,4-108, Key West"
-,64,K-5,Advanced Learning Charter School,"5855 NW 171 ST, Miami"
-,-,11-12,Advanced Technology Center School,"1770 TECHNOLOGY BLVD, Daytona Beach"
-,-,11-12,Advanced Technology College School,"1770 TECHNOLOGY BLVD, Daytona Beach"
-,-,6-8,Advantage Academy Middle School,"10320 NW 6TH ST, Coral Springs"
-,-,6-8,Advantage Academy Middle School,"350 W PROSSER DR, Plant City"
-,-,K-5,Advantage Academy Of Hillsborough School,"350 W PROSSER DR, Plant City"
11,228,9-12,Advantage Academy Of Lee County School,"2055 CENTRAL AVE, Fort Myers"
-,-,K-8,Advantage Academy Of Math And Science School,"4300 N UNIVERSITY DR, STE C-201, Sunrise"
-,-,K-5,Advantage Academy Santa Fe School,"9790 SW 107 COURT, Miami"
34,627,6-8,AIKEN MIDDLE,"101 Gator Lane, Aiken"
13,54,9-12,AIKEN PERFORMING ARTS CHARTER,"130 Avery Lane, "
43,"1,379",9-12,AIRPORT HIGH,"1315 Boston Avenue, Cayce"
17,355,6-8,ALCORN MIDDLE,"5125 Fairfield Road, "
11,385,PK-5,ALEXANDER ELEMENTARY,"1601 W. Bramlett Road, "
68,664,PK-5,ALICE DRIVE ELEMENTARY,"251 Alice Drive, "
63,727,6-8,ALICE DRIVE MIDDLE,"40 Miller Road, Lakewood"
6,530,PK-5,ALLENDALE ELEMENTARY,"4561 Allendale Fairfax Highway, Allendale"
6,425,9-12,ALLENDALE-FAIRFAX HIGH,"3581 Allendale-Fairfax Hwy, Fairfax"
3,303,6-8,ALLENDALE-FAIRFAX MIDDLE,"3305 Allendale-Fairfax Hwy, Fairfax"
12,228,PK-5,ALMA ELEMENTARY,"213 Alma Street, East Gaffney"
68,865,6-8,ALSTON MIDDLE,"500 Bryan Street, "
-,554,PK-2,Appomattox Primary School,"185 LEARNING LANE, Appomattox"
-,-,-,Appomattox Regional Gov School,"512 W WASHINGTON ST, Petersburg"
61,684,9-12,Arcadia High School,"8210 LANKFORD HIGHWAY, Oak Hall"
58,507,6-8,Arcadia Middle School,"29485 HORSEY RD., Oak Hall"
-,699,PK-6,Archer Elementary School,"324 NUTLEY ST NW, Vienna"
-,465,PK-5,Arlington Science Focus School,"1501 N. LINCOLN STREET, Arlington"
-,426,PK-5,Arlington Traditional School,"855 N EDISON ST, Arlington"
-,570,K-5,Armel Elementary School,"2239 FRONT ROYAL PIKE, Winchester"
-,392,PK-5,Armstrong Elementary School,"3401 MATOAKA RD, Hampton"
-,460,PK-6,Armstrong Elementary School,"11900 LAKE NEWPORT RD, Reston"
55,"1,158",9-12,Armstrong High School,"2300 COOL LANE, Richmond"
35,330,K-5,Alan Shawn Feinstein Elementary At Broad Street School,"1450 Broad Street, Providence"
81,"1,342",6-8,Alan Shawn Feinstein Middle Of Coventry School,"15 Foster Drive, Coventry"
15,174,1-5,Alan Shawn Feinstein School,"405 Broad Street, Central Falls"
53,628,7-8,Aldrich Junior High School,"789 Post Road, Warwick"
-,181,PK-1,"Alfred Lima, Sr. Elementary Annex School","65 Greenwich Street, Providence"
36,285,2-7,"Alfred Lima, Sr. Elementary School","222 Daboll Street, Providence"
74,443,PK-5,Alice M. Waddington School,"101 Legion Way, Riverside"
81,343,PK-5,Anna M. Mccabe School,"100 Pleasant View Avenue, Esmond"
54,557,PK-6,Anthony Carnevale Elementary School,"50 Springfield Street, Providence"
68,309,PK-4,Aquidneck School,"70 Reservoir Avenue, Middletown"
93,415,7-8,Archie R. Cole Middle School,"100 Cedar Avenue, East Greenwich"
42,160,K-5,Arlington School,"155 Princess Avenue, Cranston"
-,70,7 8,Accelerated Int Charter School,"12825 SUMMIT RDG DR, Houston"
-,-,PK-6,Accelerated Interdisciplinary Academy - Tyler School,"1201 N NW LOOP 323, Houston"
33,384,PK-6,Accelerated Interdisciplinary Academy School,"12825 SUMMIT RDG DR, Houston"
-,156,PK-12,Accelerated Learning Center School,"4129 GREENWOOD DR, Corpus Christi"
-,17,9-12,Aces Campus School,"14135 STATE HWY 31E, Brownsboro"
-,19,PK-6,Aces- Alternative Center For Elementary Students School,"906 W MILTON, Austin"
-,-,K-12,Achieve Academy School,"300 PIRATE DR, Wylie"
-,206,9-12,Achieve Early College High School,"2000 N 23RD ST, McAllen"
47,637,EE-5,Achziger Elementary School,"3300 RIDGERANCH RD, Mesquite"
